Date,Unemployment [Thousands of persons],Labor force [Thousands of persons],Vacancies [Thousands of vacancies]
2015-11-01,  787175.00,  157435.00,  157557.49
2015-12-01,  790215.00,  158043.00,  162713.92
2016-01-01,  776096.30,  158387.00,  172664.92
2016-02-01,  778173.90,  158811.00,  168895.60
2016-03-01,  796265.00,  159253.00,  179238.61
2016-04-01,  794595.00,  158919.00,  177670.57
2016-05-01,  745006.40,  158512.00,  171730.13
2016-06-01,  778982.40,  158976.00,  170373.17
2016-07-01,  780114.30,  159207.00,  180384.48
2016-08-01,  781618.60,  159514.00,  166302.31
2016-09-01,  798670.00,  159734.00,  170373.17
2016-10-01,  782530.00,  159700.00,  165397.67
2016-11-01,  733902.40,  159544.00,  169800.24
2016-12-01,  750759.20,  159736.00,  165548.44
2017-01-01,  766646.40,  159718.00,  164101.03
2017-02-01,  751985.90,  159997.00,  169347.92
2017-03-01,  721057.50,  160235.00,  169076.53
2017-04-01,  704796.40,  160181.00,  183972.87
2017-05-01,  686834.70,  159729.00,  171549.20
2017-06-01,  688920.20,  160214.00,  184696.58
2017-07-01,  690008.10,  160467.00,  187018.48
2017-08-01,  706631.20,  160598.00,  182254.06
2017-09-01,  676544.40,  161082.00,  187832.65
2017-10-01,  657521.10,  160371.00,  182706.38
2017-11-01,  658185.30,  160533.00,  178846.60
2017-12-01,  658447.70,  160597.00,  170946.11
2018-01-01,  660571.50,  161115.00,  187862.81
2018-02-01,  663876.10,  161921.00,  183158.70
2018-03-01,  663228.30,  161763.00,  200165.86
2018-04-01,  629955.30,  161527.00,  206257.08
2018-05-01,  613848.20,  161539.00,  200799.11
2018-06-01,  648560.00,  162140.00,  205714.30
2018-07-01,  632755.50,  162245.00,  213403.71
2018-08-01,  630926.40,  161776.00,  219917.09
2018-09-01,  599126.20,  161926.00,  211353.20
